method,robust_expected_max,ci_low,ci_high,num_seeds,prompts_per_seed
ev_ppo,3.458355191079658,3.4107722713233826,3.506156559694919,3,512
vanilla_ppo,3.4244304744683265,3.353738771763361,3.5165867700480047,3,512
vanilla_grpo,3.5545488848096576,3.5302801600328126,3.578231462366779,3,512
scalar_max_ppo,3.516939397485016,3.4764902656244185,3.5583681184806215,3,512
entropic_ppo,3.399766723477123,3.352669351548912,3.446593143565829,3,512
nominal_ev_ppo,3.4208128017235064,3.377303791110811,3.4670744943185863,3,512
ev_ppo_no_mean,3.5079843162584283,3.425922579482512,3.57359850778475,3,512
ev_ppo_no_quality,3.466636606517227,3.402091827976596,3.529744401663151,3,512
gaussian_ev_ppo,3.5576140393684543,3.532866572795374,3.5811542296322854,3,512
top4_ppo,3.4177405696234815,3.35348797558555,3.498683834521564,3,512
best_of_n,3.0856328196885117,3.045306190041076,3.125201144930788,3,512
