method,method_name,seed,best_of_n,num_eval_prompts,robust_epsilon,robust_ordinal_expected_max_mean,robust_ordinal_expected_max_se,robust_ordinal_expected_max_ci_low,robust_ordinal_expected_max_ci_high,robust_probability_any_rating_4_mean,robust_probability_any_rating_4_se,robust_probability_any_rating_4_ci_low,robust_probability_any_rating_4_ci_high,ordinal_expected_max_mean,ordinal_expected_max_se,ordinal_expected_max_ci_low,ordinal_expected_max_ci_high,probability_any_rating_4_mean,probability_any_rating_4_se,probability_any_rating_4_ci_low,probability_any_rating_4_ci_high,candidate_expected_rating_mean,candidate_rating_variance_mean,candidate_p4_mean,mean_floor,candidate_mean_violation_rate,candidate_quality_mean,candidate_quality_violation_rate,selected_expected_rating_mean,selected_mean_violation_rate,selected_p4_mean,selected_quality_mean,selected_quality_violation_rate,paired_margin_vs_reference,paired_margin_ci_low_vs_reference,paired_margin_ci_high_vs_reference,mean_response_tokens,reference_kl_final
ev_ppo,StableMax-PPO + Mean/Q,2718,32,512,0.04680826120821986,3.4518825596748424,0.02446491793484589,3.4027705612394548,3.4979571751074885,0.609816221224633,0.013885366169789092,0.581961205930486,0.6366316530603646,3.8576706107901537,0.007014585608454131,3.844058447940138,3.8709708652596393,0.8935721197758459,0.0044261388827910985,0.8846948722879954,0.9019903742769592,0.986573338508606,1.2982826232910156,0.1303005963563919,0.5526558456855127,0.4849853515625,-1.0223824977874756,0.38018798828125,2.3054316121479133,0.001953125,0.29633958732301835,-0.7677499651908875,0.287109375,-0.07117552093077333,-0.0952274686517504,-0.0469567385549325,59.02099609,0.02015498094
vanilla_ppo,Mean-PPO + Q,2718,32,512,0.04680826120821986,3.5230580806056144,0.021282339598070438,3.4821662649633622,3.5648058067073074,0.6289748996779357,0.013832797195894864,0.6011832446978744,0.6555263895871394,3.8793586976851535,0.006025884421205831,3.8666747840446325,3.8906687921916294,0.9018639281780888,0.004347729939492644,0.8935174185322468,0.9101202365969766,1.0813982486724854,1.408212661743164,0.13142138719558716,0.5526558456855127,0.38641357421875,-0.9433127045631409,0.29022216796875,2.2773652237774513,0.0078125,0.2870036967797205,-0.6928877830505371,0.23046875,0.0,0.0,0.0,60.95257568,0.08189953677
vanilla_grpo,GRPO + Q,2718,32,512,0.04680826120821986,3.5470669887041795,0.020690578088642244,3.50731664632194,3.5874904692046656,0.6406434978016805,0.013868697091203032,0.6139786843969453,0.6682777643743939,3.8853435349293104,0.005960756344999865,3.8728993841322152,3.8964548082324466,0.9052018373081322,0.004368976890225944,0.8969377311713962,0.9141937211849677,1.1472301483154297,1.4339005947113037,0.1394367516040802,0.5526558456855127,0.35284423828125,-0.8965288400650024,0.26812744140625,2.2925361432407954,0.00390625,0.28741527193051297,-0.652506411075592,0.197265625,0.024008908098562355,0.005353162777379523,0.041127690818932444,59.26818848,0.1064997711
scalar_max_ppo,Scalar Max@N-PPO + Q,2718,32,512,0.04680826120821986,3.555160125625747,0.02046645168497344,3.5163123788432236,3.5941383811854144,0.6550137600536784,0.013499081083563636,0.6276297892240016,0.681387341255192,3.888015024597939,0.005719490661966299,3.876747465734761,3.89883962470563,0.9093919989630653,0.004137750059672068,0.9017252109589475,0.9174791357243341,1.1288126707077026,1.3982917070388794,0.141621395945549,0.5526558456855127,0.38873291015625,-0.9549159407615662,0.3182373046875,2.3567285828676177,0.00390625,0.3011798034713138,-0.6908296942710876,0.2421875,0.032102045020130844,0.011783216615033154,0.05315655546702385,59.02783203,0.06553993249
entropic_ppo,Entropic-PPO + Q,2718,32,512,0.04680826120821986,3.3939090681304647,0.025459923368669108,3.3467902664454163,3.442752537285419,0.5802135473484192,0.01360097504110577,0.5538759979255696,0.606979836150672,3.843723360870852,0.007154900369680993,3.8293038781045228,3.8585117140586886,0.8857394816862557,0.004334320326948846,0.8775250613980724,0.8941512375602448,0.8975188732147217,1.2717866897583008,0.11557061225175858,0.5526558456855127,0.5234375,-1.0825390815734863,0.4114990234375,2.2235907918948215,0.005859375,0.2803471260558581,-0.8588954210281372,0.314453125,-0.1291490124751536,-0.15530293150513746,-0.10247698517474993,61.28149414,0.03246046016
nominal_ev_ppo,Nominal Ordinal EV-PPO + Mean/Q,2718,32,512,0.04680826120821986,3.388266212496938,0.02716691551438686,3.3358939597045345,3.4406781934389716,0.5853351971432348,0.014157669055483883,0.558967247441839,0.6133456075762663,3.839219513358042,0.007879311840807635,3.8232134569550253,3.8546566186175184,0.8850776140034033,0.00459665877569335,0.8767324797738213,0.8940648794600362,0.9383459687232971,1.2592955827713013,0.12738683819770813,0.5526558456855127,0.52386474609375,-1.024466872215271,0.37640380859375,2.2379842628897677,0.009765625,0.28546382002241444,-0.7699481248855591,0.29296875,-0.1347918681086794,-0.16357360836016582,-0.10681471738276187,58.69073486,0.01716575577
ev_ppo_no_mean,StableMax-PPO (no mean floor),2718,32,512,0.04680826120821986,3.569405928413078,0.02152116471515742,3.5252281241942236,3.6101478439248513,0.6684751865715581,0.013659419549100221,0.6412472046419183,0.6960554296704842,3.891095873171077,0.006058714840562294,3.878208328711302,3.9025728141019154,0.912665173563175,0.004199089858595864,0.9044266749065781,0.9208796923633512,1.1915770769119263,1.4103144407272339,0.15259478986263275,0.5526558456855127,0.3670654296875,-0.8952375650405884,0.2855224609375,2.385521966538363,0.00390625,0.3122084262140561,-0.6278570294380188,0.216796875,0.046347847807461665,0.027224930923378264,0.06530004430067009,56.64550781,0.06488058361
ev_ppo_no_quality,StableMax-PPO (no Q),2718,32,512,0.04680826120821986,3.530069120659086,0.02278300316399212,3.4879244264629667,3.5729225729753615,0.6520357564775455,0.014162907118500377,0.6232440547479013,0.677701512708647,3.8798106944117423,0.006431356860215872,3.8671408158931304,3.892260187541448,0.9067684677875253,0.004397760553580853,0.897625150251163,0.9153747342873567,1.1726739406585693,1.3926503658294678,0.15104632079601288,0.5526558456855127,0.38604736328125,-0.8858112096786499,0.28021240234375,2.316503524132713,0.00390625,0.2999888714257395,-0.5754015445709229,0.171875,0.007011040053467823,-0.014209959389779928,0.027321573404477575,55.01165771,0.05896787906
gaussian_ev_ppo,Gaussian EV-PPO + Q,2718,32,512,0.04680826120821986,3.5609674047271302,0.02032558374635987,3.5196093603523346,3.6013961130751024,0.6608072416410298,0.013269333343974688,0.634590756855291,0.6870685400167069,3.889678568091245,0.005623719192714881,3.8784595083419395,3.9002287447380466,0.911094782542112,0.004030996372933275,0.9032353331870908,0.9188626246378847,1.1358387470245361,1.3938177824020386,0.14456796646118164,0.5526558456855127,0.39263916015625,-0.9528598785400391,0.32379150390625,2.358186509825373,0.0,0.307447917155514,-0.7201512455940247,0.271484375,0.037909324121510726,0.018830807441935674,0.05745687082200288,58.69464111,0.04990650321
top4_ppo,Top-4 PPO + Q,2718,32,512,0.04680826120821986,3.503470680974619,0.02223937730683042,3.458869960672508,3.5479451681421303,0.6263090675690585,0.013836461337537279,0.5979056446798499,0.654231526070134,3.874278601375661,0.006274510656205119,3.8615867797547447,3.8861884681871124,0.9009142118705188,0.0043151135471012755,0.8920375435418922,0.9092882961339941,1.069379210472107,1.3668854236602783,0.13681355118751526,0.5526558456855127,0.42266845703125,-0.9763026237487793,0.32769775390625,2.3039017580049403,0.001953125,0.2953764084377326,-0.7510604858398438,0.27734375,-0.019587399630997676,-0.038322528343370334,-0.0009845834459475985,59.78118896,0.07257681173
